timestamp,generator_id,name,load_mw,voltage_kv,node_status,frequency_hz
14:32:00,GEN-01,North Hydro,118.4,13.8,online,60.002
14:32:00,GEN-02,East Gas,86.2,13.8,online,60.002
14:32:00,GEN-03,South Wind,42.5,34.5,online,60.002
14:32:00,GEN-04,West Coal,210.0,18.0,online,60.002
14:32:01,GEN-01,North Hydro,118.8,13.82,online,60.011
14:32:01,GEN-02,East Gas,86.8,13.81,online,60.011
14:32:01,GEN-03,South Wind,44.3,34.54,online,60.011
14:32:01,GEN-04,West Coal,211.2,18.02,online,60.011
14:32:02,GEN-01,North Hydro,119.2,13.81,online,59.994
14:32:02,GEN-02,East Gas,87.4,13.8,online,59.994
14:32:02,GEN-03,South Wind,45.9,34.58,online,59.994
14:32:02,GEN-04,West Coal,212.0,18.01,online,59.994
14:32:03,GEN-01,North Hydro,119.5,13.79,online,59.981
14:32:03,GEN-02,East Gas,88.0,13.78,online,59.981
14:32:03,GEN-03,South Wind,47.6,34.55,online,59.981
14:32:03,GEN-04,West Coal,211.4,17.98,online,59.981
14:32:04,GEN-01,North Hydro,120.0,13.77,online,59.968
14:32:04,GEN-02,East Gas,88.6,13.75,online,59.968
14:32:04,GEN-03,South Wind,46.7,34.51,online,59.968
14:32:04,GEN-04,West Coal,210.5,17.94,degraded,59.968
14:32:05,GEN-01,North Hydro,120.4,13.76,online,59.952
14:32:05,GEN-02,East Gas,88.1,13.72,online,59.952
14:32:05,GEN-03,South Wind,45.1,34.47,online,59.952
14:32:05,GEN-04,West Coal,208.0,17.82,degraded,59.952
14:32:06,GEN-01,North Hydro,119.9,13.78,online,59.941
14:32:06,GEN-02,East Gas,87.2,13.68,critical,59.941
14:32:06,GEN-03,South Wind,43.3,34.44,online,59.941
14:32:06,GEN-04,West Coal,202.0,17.6,degraded,59.941
14:32:07,GEN-01,North Hydro,119.3,13.8,online,59.958
14:32:07,GEN-02,East Gas,86.4,13.65,critical,59.958
14:32:07,GEN-03,South Wind,41.3,34.46,online,59.958
14:32:07,GEN-04,West Coal,0.0,0.0,offline,59.958
14:32:08,GEN-01,North Hydro,118.7,13.82,online,59.977
14:32:08,GEN-02,East Gas,85.4,13.69,critical,59.977
14:32:08,GEN-03,South Wind,39.7,34.5,online,59.977
14:32:08,GEN-04,West Coal,0.0,0.0,offline,59.977
14:32:09,GEN-01,North Hydro,118.0,13.83,online,59.996
14:32:09,GEN-02,East Gas,84.7,13.72,critical,59.996
14:32:09,GEN-03,South Wind,41.0,34.53,online,59.996
14:32:09,GEN-04,West Coal,0.0,0.0,offline,59.996
14:32:10,GEN-01,North Hydro,117.6,13.81,online,60.018
14:32:10,GEN-02,East Gas,84.1,13.75,critical,60.018
14:32:10,GEN-03,South Wind,43.1,34.56,online,60.018
14:32:10,GEN-04,West Coal,0.0,0.0,offline,60.018
14:32:11,GEN-01,North Hydro,118.2,13.79,online,60.031
14:32:11,GEN-02,East Gas,84.8,13.77,critical,60.031
14:32:11,GEN-03,South Wind,44.9,34.54,online,60.031
14:32:11,GEN-04,West Coal,0.0,0.0,offline,60.031
14:32:12,GEN-01,North Hydro,118.9,13.78,online,60.024
14:32:12,GEN-02,East Gas,85.7,13.79,critical,60.024
14:32:12,GEN-03,South Wind,46.5,34.48,degraded,60.024
14:32:12,GEN-04,West Coal,0.0,0.0,offline,60.024
14:32:13,GEN-01,North Hydro,119.6,13.8,online,60.009
14:32:13,GEN-02,East Gas,86.6,13.81,critical,60.009
14:32:13,GEN-03,South Wind,45.6,34.42,degraded,60.009
14:32:13,GEN-04,West Coal,222.0,17.8,degraded,60.009
14:32:14,GEN-01,North Hydro,120.2,13.82,online,59.993
14:32:14,GEN-02,East Gas,87.3,13.82,online,59.993
14:32:14,GEN-03,South Wind,43.9,34.44,degraded,59.993
14:32:14,GEN-04,West Coal,228.0,17.92,degraded,59.993
14:32:15,GEN-01,North Hydro,120.7,13.81,online,59.974
14:32:15,GEN-02,East Gas,88.0,13.81,online,59.974
14:32:15,GEN-03,South Wind,42.2,34.48,degraded,59.974
14:32:15,GEN-04,West Coal,232.0,18.0,degraded,59.974
14:32:16,GEN-01,North Hydro,120.1,13.79,online,59.961
14:32:16,GEN-02,East Gas,88.4,13.8,online,59.961
14:32:16,GEN-03,South Wind,40.7,34.51,online,59.961
14:32:16,GEN-04,West Coal,226.0,18.02,online,59.961
14:32:17,GEN-01,North Hydro,119.4,13.8,online,59.982
14:32:17,GEN-02,East Gas,87.7,13.81,online,59.982
14:32:17,GEN-03,South Wind,41.9,34.53,online,59.982
14:32:17,GEN-04,West Coal,218.0,18.03,online,59.982
14:32:18,GEN-01,North Hydro,118.8,13.81,online,60.007
14:32:18,GEN-02,East Gas,86.9,13.8,online,60.007
14:32:18,GEN-03,South Wind,43.7,34.52,online,60.007
14:32:18,GEN-04,West Coal,213.0,18.01,online,60.007
14:32:19,GEN-01,North Hydro,118.5,13.8,online,60.016
14:32:19,GEN-02,East Gas,86.4,13.8,online,60.016
14:32:19,GEN-03,South Wind,44.5,34.51,online,60.016
14:32:19,GEN-04,West Coal,211.0,18.0,online,60.016
